   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msnh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,ptm,tele,smon,smpd,smop,hi,res,phdt,op,pvt,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
TrueNorth Wellness Services,,33 Frederick Street,,Hanover,PA,17331,,York,717-632-4900,,,,http://www.truenorthwellness.org,39.800156,-76.984022,MH,2017-02-27 11:25:37,1,,,,,,,1,,,,1,1,1,,,,,,1,,,1,,,,1,,,,,,,,,1,1,1,,1,1,,1,1,1,,1,,,,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkes Barre VAMC,,3110 Hamilton Boulevard,,Allentown,PA,18103,3630,Lehigh,610-776-4304,,610-776-4368,,http://,40.5830345,-75.5170244,MH,2018-03-07 17:17:20.378,1,,,,,,,,,1,1,1,1,,,,1,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,,,,,1,,,,,,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinebrook Family Answers,,402 North Fulton Street,,Allentown,PA,18102,,Lehigh,610-432-3919 x1177,,610-432-3919,,http://www.pbfalv.org,40.6030713,-75.4922316,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,1,,1,,,,,,1,,1,1,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Valley Health Network,CCLVPG Adult and Ped Psychiatry,1259 South Cedar Crest Boulevard,Suite 230,Allentown,PA,18103,,Lehigh,610-402-5900,,,,http://www.lvhn.org,40.5645327,-75.5170249,MH,2018-03-30 14:07:42.783,1,,,,,,1,,,1,1,1,1,1,1,,1,,,1,1,,1,,,,,1,,,,,,,,1,,1,,1,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent Transitions Partial Hosp,Lehig Valley Health Network,1255 South Cedar Crest Boulevard,Suite 1500,Allentown,PA,18103,,Lehigh,610-402-5930,,,,http://www.lvhn.org,40.565378,-75.5152045,MH,2018-07-10 13:12:42.767,1,,,,,1,,,,1,1,1,1,1,1,,1,,,1,,1,,,,,1,,,,,,,,,1,1,,1,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas H Noyes Memorial Hospital,Noyes Hospital Mental Health Service,9221 Robert Hart Drive,,Dansville,NY,14437,8931,Livingston,585-335-4316,,,,http://www.noyes-health.org,42.579555,-77.7128649,MH,2017-08-15 16:09:29.692,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn Highlands Brookville,Behavioral Health Unit,100 Hospital Road,,Brookville,PA,15825,,Jefferson,814-849-2312,,814-849-1850,,http://www.phhealthcare.org,41.1571144,-79.0915845,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,,1,1,,1,,1,1,,1,,1,,,1,,,1,,,,,,,,1,,1,,1,1,,,,,,1,,1,1,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,1,,1,,1,1,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart Hospital,Behavioral Health,421 West Chew Street,,Allentown,PA,18102,,Lehigh,610-776-4500,,610-776-4504,,http://www.shh.org,40.608221,-75.46848,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,,,,,1,1,1,1,1,,1,,,,1,1,,,1,1,1,,,1,1,,,,,,,,1,1,,,,1,1,,,,,,,1,,1,,1,,1,,1,1,,1,1,,1,1,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KidsPeace,,801 East Green Street,,Allentown,PA,18109,,Lehigh,610-799-8910,,,,http://www.kidspeace.org,40.6199682,-75.4433232,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,1,,1,,,,,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,1,,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,,,,,1,1,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hoffman Homes for Youth,,815 Orphanage Road,,Littlestown,PA,17340,,Adams,717-359-7148,,,,http://www.hoffmanhomes.com,39.7508229,-77.1799786,MH,2017-02-27 11:25:37,1,,1,,,,,,,1,,1,1,1,1,,1,1,,1,,1,,,,1,,,,,,,,,,1,1,,,1,,1,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Haven House,,1411 Union Boulevard,,Allentown,PA,18109,1505,Lehigh,610-433-6181 x112,,610-433-6181 x115,,http://Haven-House.com,40.625062,-75.434288,MH,2017-02-27 11:25:37,1,,,,,,,1,,1,,1,1,1,1,,1,1,,1,,,1,,,,1,1,,,,,,,,1,1,1,1,1,,,1,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,,,,1,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternatives Adult Partial Program,Lehigh Valley Health Network,2545 Schoenersville Road,,Bethlehem,PA,18017,,Northampton,484-884-5690,,,,http://www.lvhn.org,40.644389,-75.408955,MH,2017-02-27 11:25:37,1,,,,,1,,,,1,,1,1,1,,,,,,1,,1,,,,,1,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,,,1,,,,1,,1,,1,,,,,,,1,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Valley Health Network,Mental Health Clinic Muhlenberg,2604 Schoenersville Road,,Bethlehem,PA,18017,,Northampton,610-691-8028 x233,,610-691-8028,,http://www.lvhn.org,40.645538,-75.405871,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,,,1,,,1,,1,,,,,,1,,,,,,,,1,1,1,1,1,,1,,,,1,1,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,,,,,1,1,1,,1,,1,,,1,,1,1,,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCERN Professional Services for,Children Youth and Families,90 South Commerce Way,Suite 300,Bethlehem,PA,18017,,Northampton,610-691-8401,,,,http://www.concern4kids.org/,40.6737956,-75.3814164,MH,2018-05-30 09:37:41.462,1,,,,,,1,,,1,1,1,1,,1,,1,1,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbins Bower Crisis Residence,,910 East Emmaus Avenue,,Allentown,PA,18103,,Lehigh,610-791-7878,,,,http://www.hhinc.org,40.58308,-75.432819,MH,2017-02-27 11:25:37,1,,,1,,,,,,1,1,1,1,,,,,,,1,1,,1,,,1,,,,,,,,,,1,1,,,1,,,,,,,1,,,,1,,,1,,1,,,1,,,,,,,,1,,1,,1,,,1,,,,,1,,,,,1,,,,1,,,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern Human Services (NHS),Assertive Comm Trt Program (ACT),3864 Adler Place,Suite 100,Bethlehem,PA,18017,,Northampton,610-866-8331 x233,,610-866-8331,,http://www.nhsonline.org,40.6694644,-75.3815532,MH,2018-10-01 14:57:46.808,1,,,,,,,1,,1,1,,1,1,1,,1,,,1,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,1,,,,,,,,1,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Services Group,Lehigh Valley Partial Hospitilization,54 South Commerce Way,Suite 170,Bethlehem,PA,18017,,Northampton,610-866-7600 x40022,,,877-907-7970 x50014,http://www.csgonline.org,40.673623,-75.378349,MH,2017-02-27 11:25:37,1,,,,,1,,,,,,1,1,1,1,,,,,1,,,1,,,,1,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lukes University Health Network,Psychiatric Associates,1107 Eaton Avenue,,Bethlehem,PA,18018,,Lehigh,484-526-3012,,484-526-2400,,http://www.sluhn.org,40.6331731,-75.3975966,MH,2018-08-07 13:28:09.928,1,,,,,,1,,,1,1,1,1,,1,,1,1,,1,,1,,,,,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,1,,,,,1,1,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Health Services Inc,,5th and Montgomery Avenue,Suite 208,Boyertown,PA,19512,,Berks,610-369-7271,,610-326-9250,,http://www.creativehs.org,40.329643,-75.6244201,MH,2018-03-01 12:22:33.303,1,,,,,,1,,,1,1,,1,,,,1,,,,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Family Guidance Center,Boyertown Professional Center,5th and Montgomery Avenue,,Boyertown,PA,19512,1300,Berks,610-374-4963,,610-374-4963 x1,,http://www.familyguidaancecenter.com,40.329643,-75.6244201,MH,2018-03-26 09:57:24.698,1,,,,,,1,,,1,1,,1,,1,,1,,,,,,1,,,,,1,,,,,,,,1,1,1,1,1,,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Health Services Inc,Boyertown Professional Center,137 Montgomery Avenue,Suite 208,Boyertown,PA,19512,,Berks,610-369-7271,,610-326-9250,,http://www.creativehs.org,40.329678,-75.623564,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,,1,,,,1,,,,,,1,,,,,1,,,,,,,,1,1,1,1,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New Directions Treatment Services,,2456 Broadhead Road,,Bethlehem,PA,18020,,Northampton,484-821-2922,Intakes,484-821-2922 x100,484-821-2922 x101,http://www.ndts.org,40.678521,-75.364698,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,,1,,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Cattaraugus County Community Services,Salamanca Counseling Center,117 1/2 Main Street,,Salamanca,NY,14779,,Cattaraugus,716-945-5211,Intakes,716-701-3335,716-373-8040,http://www.cattco.org/community-services,42.154164,-78.713604,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,1,,,1,1,1,1,1,1,,1,1,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinebrook Family Answers,,16 South Broadway,Suite 2,Wind Gap,PA,18091,,Northampton,610-863-8151,,,,http://www.pbfalv.org,40.8479057,-75.2922015,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KidsPeace Broadway Campus,,1620 Broadway,,Bethlehem,PA,18015,,Northampton,610-799-8600,,,,http://www.kidspeace.org,40.5977364,-75.4064867,MH,2017-08-15 16:24:44.09,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,1,1,,,,,,1,,,,,,,,1,1,,1,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
TrueNorth Wellness Services,,73 East Forrest Avenue,,Shrewsbury,PA,17361,,York,717-235-0199,,717-632-4900,,http://www.truenorthwellness.org,39.770366,-76.676164,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,,1,1,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,1,1,,1,1,1,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
Northeast Treatment Centers,,44 East Broad Street,Suite 020,Bethlehem,PA,18018,,Lehigh,610-868-0435,,,,http://www.netcenters.org,40.621929,-75.377135,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,,,1,,,,1,,,1,,,,,1,,,,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Health Services Inc,,11 Robinson Street,,Pottstown,PA,19464,,Montgomery,610-326-9250 x1180,Intakes,610-326-9250,,http://www.creativehs.org/,40.257304,-75.665687,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,,,,,,,1,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,,1,,1,1,,1,1,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bet El Counseling Services PC,,307 East 4th Street,,Bethlehem,PA,18015,,Northampton,610-849-2291,,,,http://www.betelcs.org,40.610897,-75.374173,MH,2017-02-27 11:25:37,1,,,,,,,1,,1,1,1,1,,1,,1,1,,1,,,1,,,,,1,,,,,,,,1,1,1,,,,1,1,,,,1,,,,,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,1,,,,,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resources for Human Development Inc,(RHD) Hope House,3606 Hecktown Road,,Bethlehem,PA,18020,,Northampton,610-882-2008,,610-882-2008 x0,,http://www.hopehouse-rhd.org,40.6704272,-75.3290331,MH,2018-09-18 11:22:19.454,1,,,1,,,,,,1,1,1,,,,,1,,,1,,,1,,,1,,,,,,,,,,,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redco Group Behav Health Servs for,Outpatient/FACT Stroudsburg,564 Main Street,2nd Floor,Stroudsburg,PA,18360,,Monroe,570-420-8070,,570-420-8070 x3012,,http://www.redcogrp.com,40.986198,-75.192524,MH,2017-02-27 11:25:37,1,,,,,,,,1,1,,1,1,,1,,1,,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,,1,1,1,,,,1,,1,,,,,,1,,,,,,,,,1,,,1,,,,1,,1,,,,,1,1,1,,,1,1,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Valley Health Ntwk Pocono,Behavioral Health,206 East Brown Street,,East Stroudsburg,PA,18301,,Monroe,570-421-4000 x3394,,,,http://,40.9931408,-75.1753166,MH,2018-05-30 09:37:10.067,1,1,,,,,,,,1,,1,1,,1,1,,1,,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,1,1,,1,1,,1,1,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Penn Foundation Inc,,500 Creekside Drive,Suite 507,Pottstown,PA,19464,,Montgomery,610-819-6000,,610-819-6000 x5924,,http://www.pennfoundation.org,40.245895,-75.605534,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,,,,,1,,,,,1,,1,,1,,,1,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Progressions,,1610 Medical Drive,Suite 310,Pottstown,PA,19464,,Montgomery,610-970-5000,,,,http://www.pbhsi.com,40.2402961,-75.6104906,MH,2017-08-18 10:26:55.646,1,,,,,,1,,,1,1,1,1,,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSVS Community Counseling Servs,,51 Market Street,,Bangor,PA,18013,,Northampton,610-588-9109,,,,http://www.ccsbangor.org,40.8670674,-75.2060281,MH,2018-03-30 14:07:45.952,1,,,,,,1,,,1,1,1,1,,1,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,1,1,,1,,,,,,,,,,1,,,,,,,1,1,1,1,,1,1,1,,1,,1,,1,1,,,,,,1,,,1,,,,,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cattaraugus County Comm Servs,Machias Counseling Center,9824 Route 16,,Machias,NY,14101,,Cattaraugus,716-353-8241,Intakes,716-701-3335,716-373-8040,http://www.cattco.org/community-services,42.4300303,-78.4837078,MH,2018-03-30 14:05:15.833,1,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,1,,,1,1,1,1,1,1,,1,1,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devereux Advanced Behavioral Hlth,Brandywine,160 Devereux Road,,Glenmoore,PA,19343,,Chester,800-935-6789,Intakes,800-935-6789 x2,484-595-6723,http://www.devereuxbeneto.org,40.084733,-75.759266,MH,2018-06-12 13:47:35.413,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,,,,,,,,,,1,1,,,1,,1,1,1,1,1,1,,,,,,,,,,,,1,1,,,,1,,,1,1,,,1,,,,,,1,,,,1,1,1,,,1,,,,1,1,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
PATH,East Stroudsburg,149 Saw Mill Court,,East Stroudsburg,PA,18301,,Monroe,570-517-7153,,,,http://www.pathtochange.org,41.0359954,-75.1333302,MH,2017-02-27 11:25:37,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,,,,,,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Community Counseling Services,,1555 Northampton Street,,Easton,PA,18043,,Northampton,610-252-2000,,610-588-9109,,http://www.ccsbangor.org,40.6899878,-75.2338099,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,1,,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,,1,1,1,1,,,,1,,,1,,,1,,,,,,,1,1,1,1,,1,1,1,,1,,1,,1,1,,,,,,1,,,1,,,,,,,,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmira Psychiatric Center,Wayne Finger Lakes Day Treatment,4120 Baldwin Road,,Rushville,NY,14544,,Yates,585-289-6292,Intakes,607-795-2244,585-554-6492,http://,42.777433,-77.227789,MH,2017-02-27 11:25:37,1,,,,,,,,1,1,,1,1,1,,,,,,1,1,1,,,,,,1,,,1,,,,,1,1,1,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford/Somerset DBHS,Windber Clinic/Cornerstone,403 12th Street,,Windber,PA,15963,,Somerset,814-467-4397,,,814-443-4891,http://www.dbhs.co,40.236624,-78.834444,MH,2018-05-14 12:09:19.967,1,,,,,,1,,,1,1,,1,1,1,1,1,1,,1,,,1,,,,,1,,,1,,,,,1,1,1,1,1,1,,,,,,1,,,1,1,1,,,,,,,1,,,,,,,,1,1,1,,,,,,,1,1,,,1,1,,1,,,,,,,,1,1,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinebrook Family Answers,,1101 Northampton Street,Suite 201,Easton,PA,18042,,Northampton,610-559-8151,,,,http://www.pbfalv.org,40.690841,-75.2247061,MH,2018-06-25 11:38:32.639,1,,,,,,1,,,1,1,1,1,,1,,1,1,,1,1,,1,,,,,1,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Community Guidance Center,,793 Old Route 119 Highway North,,Indiana,PA,15701,,,724-465-5576,,,888-686-1991,http://,40.6374003,-79.1399856,MH,2018-01-26 10:24:07.518,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,1,,1,,,,1,1,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,1,,,,,,1,,1,1,1,,1,,1,1,,1,1,,,1,1,1,1,1,1,,,,,1,1,1,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cortland Community Services Board,Horizon House,7 Clayton Avenue,,Cortland,NY,13045,,Cortland,607-758-6100,,,,http://,42.5980056,-76.1807551,MH,2018-03-07 15:04:04.373,1,,,,,1,,,,1,,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,1,,,1,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CareLink Community Support Servs,Marsh Creek,630 Milford Road,,Downingtown,PA,19335,,Chester,610-458-0685,,,,http://www.carelinkservices.org,40.0785286,-75.7220891,MH,2018-05-30 09:38:04.687,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Conemaugh Memorial Medical Center,Behavioral Medicine,1086 Franklin Street,,Johnstown,PA,15905,,Cambria,814-534-1099,,814-534-1095,,http://www.conemaugh.org/,40.305111,-78.918268,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,1,1,1,,1,,,1,,1,,1,,,1,,,1,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Counseling Servs of Cortland,Fam Counseling Servs MH Clinic,10 North Main Street,,Cortland,NY,13045,,Cortland,607-753-0234,,,,http://fcscortland.org/,42.601734,-76.1808836,MH,2017-02-27 11:25:37,1,,,,,,1,,,1,1,1,1,1,,1,1,,,1,,1,,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,,,,,,1,1,,1,,,1,,,,,,,,1,,,,1,,,,1,,,,,1,,,1,,,1,,1,1,,1,1,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New Vitae Wellness and Recovery,,16 South Main Street,,Quakertown,PA,18951,,Lehigh,215-538-3403 x302,,215-538-3403,,http://newvitaewellness.com/,40.4419733,-75.3526627,MH,2017-08-15 16:34:00.938,1,,,,,,1,,,1,1,1,1,1,1,,1,,,1,,,1,,,,1,1,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,,1,,1,1,1,,,,,1,1,,1,1,1,,,,,,,1,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of Gheel Inc,Buttonwood Farm,14 Buttonwood Lane,,Birchrunville,PA,19421,,Chester,610-827-0860,Intakes,610-495-7871 x216,610-495-7871 x211,http://www.spiritofgheel.org,40.148798,-75.62622,MH,2017-02-27 11:25:37,1,,,1,,,,,,1,,1,1,,,,,1,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,1,,1,,,,,1,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cortland Regional Medical Center,,134 Homer Avenue,,Cortland,NY,13045,,Cortland,607-756-3770,,,,http://www.cortlandregional.org/,42.608842,-76.187635,MH,2017-02-27 11:25:37,1,1,,,,,,,,1,,1,1,1,,,,1,1,1,,1,,,1,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,1,,,1,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,,1,1,1,,,1,1,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
