County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
WASHINGTON,237.5601617,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,63,63,42,125,"(40.1910966345, -80.2518008276)"
WAYNE,194.8728062,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,64,64,42,127,"(41.6496980525, -75.3051535022)"
WESTMORELAND,273.6300773,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,65,65,42,129,"(40.3103149985, -79.471341176)"
WYOMING,188.2562407,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,66,66,42,131,"(41.5189248803, -76.0181300338)"
YORK,158.6229898,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,67,67,42,133,"(39.9219253124, -76.7257605231)"
ADAMS,114.1221374,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,1,1,42,1,"(39.8720956503, -77.2222427076)"
ALLEGHENY,231.8925381,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,2,2,42,3,"(40.4673554298, -79.9861984282)"
ARMSTRONG,184.3395602,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,3,3,42,5,"(40.8150952555, -79.4731689893)"
BEAVER,217.0711167,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,4,4,42,7,"(40.6834924548, -80.3510735648)"
BEDFORD,164.3455768,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,5,5,42,9,"(40.0073753643, -78.4911647381)"
BERKS,139.1256762,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,6,6,42,11,"(40.4193963513, -75.9307732705)"
BLAIR,293.7505014,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,7,7,42,13,"(40.4855502384, -78.349076871)"
BRADFORD,195.7544841,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,8,8,42,15,"(41.7911781401, -76.5182562384)"
BUCKS,161.0794398,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,9,9,42,17,"(40.335011331, -75.1129124111)"
BUTLER,202.3206153,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,10,10,42,19,"(40.9108318483, -79.9171177889)"
CAMBRIA,250.0148443,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,11,11,42,21,"(40.4912749067, -78.7189417385)"
CAMERON,211.6741501,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,12,12,42,23,"(41.4388026531, -78.2091693241)"
CARBON,169.6858194,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,13,13,42,25,"(40.9193670081, -75.7110703866)"
CENTRE,108.1479463,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,14,14,42,27,"(40.9193135008, -77.8250011212)"
CHESTER,130.5664017,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,15,15,42,29,"(39.9748705566, -75.7562649818)"
CLARION,164.3860515,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,16,16,42,31,"(41.1927912877, -79.4248360769)"
CLEARFIELD,194.9104174,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,17,17,42,33,"(41.0004290024, -78.4755834299)"
CLINTON,214.1819387,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,18,18,42,35,"(41.2328627374, -77.6428376046)"
COLUMBIA,203.5230352,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,19,19,42,37,"(41.0491208559, -76.4100217975)"
CRAWFORD,254.2750154,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,20,20,42,39,"(41.6854690692, -80.1132108295)"
CUMBERLAND,167.9557033,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,21,21,42,41,"(40.167598388, -77.268662705)"
DAUPHIN,171.4241872,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,22,22,42,43,"(40.4197463597, -76.7796056802)"
DELAWARE,175.5584822,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,23,23,42,45,"(39.9165786652, -75.4062771212)"
ELK,207.6771654,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,24,24,42,47,"(41.4281941606, -78.6494771322)"
ERIE,222.1703288,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,25,25,42,49,"(41.9941378702, -80.0407591036)"
FAYETTE,247.2482352,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,26,26,42,51,"(39.919447803, -79.6518963464)"
FOREST,109.4112826,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,27,27,42,53,"(41.5135787577, -79.2378099483)"
FRANKLIN,159.0174909,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,28,28,42,55,"(39.9278619704, -77.7239884483)"
FULTON,167.2131148,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,29,29,42,57,"(39.9248751086, -78.1148504535)"
GREENE,192.5155254,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,30,30,42,59,"(39.8548039342, -80.2294381655)"
HUNTINGDON,131.7000482,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,31,31,42,61,"(40.4161050032, -77.9827661036)"
INDIANA,251.5631513,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,32,32,42,63,"(40.6529549748, -79.0933349286)"
JEFFERSON,248.383364,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,33,33,42,65,"(41.1313909115, -79.0010181419)"
JUNIATA,127.4584724,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,34,34,42,67,"(40.5343300836, -77.405775001)"
LACKAWANNA,268.1418316,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,35,35,42,69,"(41.4391006428, -75.6121834524)"
LANCASTER,142.2506964,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,36,36,42,71,"(40.0459079619, -76.2513876838)"
LAWRENCE,207.1849153,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,37,37,42,73,"(40.9932503514, -80.3375411446)"
LEBANON,186.6947999,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,38,38,42,75,"(40.3675970024, -76.4618257486)"
LEHIGH,198.365951,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,39,39,42,77,"(40.6146479416, -75.6009948118)"
LUZERNE,225.2491442,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,40,40,42,79,"(41.1783643884, -75.991996098)"
LYCOMING,221.426836,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,41,41,42,81,"(41.3445979226, -77.069424568)"
MCKEAN,214.5978082,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,42,42,42,83,"(41.810370736, -78.5712201998)"
MERCER,264.3716844,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,43,43,42,85,"(41.302377765, -80.2600941079)"
MIFFLIN,210.3923007,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,44,44,42,87,"(40.6127492804, -77.6200308901)"
MONROE,173.4217149,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,45,45,42,89,"(41.0609178653, -75.3408360302)"
MONTGOMERY,173.8148407,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,46,46,42,91,"(40.209898739, -75.3725200072)"
MONTOUR,330.3712588,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,47,47,42,93,"(41.0280182438, -76.6647052668)"
NORTHAMPTON,166.0502689,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,48,48,42,95,"(40.754595404, -75.3126372576)"
NORTHUMBERLAND,213.5918134,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,49,49,42,97,"(40.8515092572, -76.7118842273)"
PENNSYLVANIA,184.5487412,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,0,0,42,0,"(39.346129, -75.167756)"
PERRY,124.9236141,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,50,50,42,99,"(40.4041531744, -77.2590738496)"
PHILADELPHIA,165.5913238,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,51,51,42,101,"(40.0044435384, -75.140236002)"
PIKE,125.7694107,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,52,52,42,103,"(41.332571995, -75.0327092448)"
POTTER,145.6914421,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,53,53,42,105,"(41.7442064382, -77.8987922939)"
SCHUYLKILL,192.9332117,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,54,54,42,107,"(40.707512431, -76.223323851)"
SNYDER,141.7663339,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,55,55,42,109,"(40.7711373692, -77.0725596804)"
SOMERSET,170.1282957,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,56,56,42,111,"(39.9714629901, -79.0310020611)"
SULLIVAN,102.981913,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,57,57,42,113,"(41.4480993958, -76.5147922046)"
SUSQUEHANNA,134.4525476,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,58,58,42,115,"(41.8205685982, -75.8025030296)"
TIOGA,166.1079895,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,59,59,42,117,"(41.7733383358, -77.2578807579)"
UNION,144.935806,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,60,60,42,119,"(40.9647313096, -77.0641580308)"
VENANGO,190.9588833,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,61,61,42,121,"(41.4034125863, -79.7628656104)"
WARREN,173.1667708,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,62,62,42,123,"(41.8167523652, -79.278581578)"
WASHINGTON,187.7911925,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,63,63,42,125,"(40.1910966345, -80.2518008276)"
WAYNE,177.0262276,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,64,64,42,127,"(41.6496980525, -75.3051535022)"
WESTMORELAND,231.805164,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,65,65,42,129,"(40.3103149985, -79.471341176)"
WYOMING,182.8058573,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,66,66,42,131,"(41.5189248803, -76.0181300338)"
YORK,147.8104493,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q1,1/1/2017,67,67,42,133,"(39.9219253124, -76.7257605231)"
ADAMS,123.0769231,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,1,1,42,1,"(39.8720956503, -77.2222427076)"
ALLEGHENY,272.327837,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,2,2,42,3,"(40.4673554298, -79.9861984282)"
ARMSTRONG,225.3105917,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,3,3,42,5,"(40.8150952555, -79.4731689893)"
BEAVER,247.7706968,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,4,4,42,7,"(40.6834924548, -80.3510735648)"
BEDFORD,173.2850491,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,5,5,42,9,"(40.0073753643, -78.4911647381)"
BERKS,146.8496572,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,6,6,42,11,"(40.4193963513, -75.9307732705)"
BLAIR,338.5720016,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,7,7,42,13,"(40.4855502384, -78.349076871)"
BRADFORD,213.9213428,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,8,8,42,15,"(41.7911781401, -76.5182562384)"
BUCKS,176.9830412,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,9,9,42,17,"(40.335011331, -75.1129124111)"
BUTLER,246.7580427,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,10,10,42,19,"(40.9108318483, -79.9171177889)"
CAMBRIA,293.1894427,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,11,11,42,21,"(40.4912749067, -78.7189417385)"
CAMERON,211.6741501,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,12,12,42,23,"(41.4388026531, -78.2091693241)"
CARBON,182.6744661,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,13,13,42,25,"(40.9193670081, -75.7110703866)"
CENTRE,117.3883962,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,14,14,42,27,"(40.9193135008, -77.8250011212)"
CHESTER,139.9173368,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,15,15,42,29,"(39.9748705566, -75.7562649818)"
CLARION,176.5118272,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,16,16,42,31,"(41.1927912877, -79.4248360769)"
CLEARFIELD,210.7672837,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,17,17,42,33,"(41.0004290024, -78.4755834299)"
CLINTON,259.934239,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,18,18,42,35,"(41.2328627374, -77.6428376046)"
COLUMBIA,220.6413731,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,19,19,42,37,"(41.0491208559, -76.4100217975)"
CRAWFORD,274.3545451,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,20,20,42,39,"(41.6854690692, -80.1132108295)"
CUMBERLAND,178.0077745,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,21,21,42,41,"(40.167598388, -77.268662705)"
DAUPHIN,175.32617,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,22,22,42,43,"(40.4197463597, -76.7796056802)"
DELAWARE,189.8023081,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,23,23,42,45,"(39.9165786652, -75.4062771212)"
ELK,241.2073491,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,24,24,42,47,"(41.4281941606, -78.6494771322)"
ERIE,243.2559638,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,25,25,42,49,"(41.9941378702, -80.0407591036)"
FAYETTE,291.4648204,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,26,26,42,51,"(39.919447803, -79.6518963464)"
FOREST,97.25447343,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,27,27,42,53,"(41.5135787577, -79.2378099483)"
FRANKLIN,175.2994781,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,28,28,42,55,"(39.9278619704, -77.7239884483)"
FULTON,196.9945355,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,29,29,42,57,"(39.9248751086, -78.1148504535)"
GREENE,229.7228271,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,30,30,42,59,"(39.8548039342, -80.2294381655)"
HUNTINGDON,140.2682211,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,31,31,42,61,"(40.4161050032, -77.9827661036)"
INDIANA,281.9577602,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,32,32,42,63,"(40.6529549748, -79.0933349286)"
JEFFERSON,278.4698114,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,33,33,42,65,"(41.1313909115, -79.0010181419)"
JUNIATA,140.2485621,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,34,34,42,67,"(40.5343300836, -77.405775001)"
LACKAWANNA,332.7780959,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,35,35,42,69,"(41.4391006428, -75.6121834524)"
LANCASTER,147.7214485,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,36,36,42,71,"(40.0459079619, -76.2513876838)"
LAWRENCE,236.946411,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,37,37,42,73,"(40.9932503514, -80.3375411446)"
LEBANON,190.9363905,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,38,38,42,75,"(40.3675970024, -76.4618257486)"
LEHIGH,200.6790639,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,39,39,42,77,"(40.6146479416, -75.6009948118)"
LUZERNE,260.134078,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,40,40,42,79,"(41.1783643884, -75.991996098)"
LYCOMING,248.9674441,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,41,41,42,81,"(41.3445979226, -77.069424568)"
MCKEAN,232.5048349,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,42,42,42,83,"(41.810370736, -78.5712201998)"
MERCER,277.1868607,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,43,43,42,85,"(41.302377765, -80.2600941079)"
MIFFLIN,249.7086876,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,44,44,42,87,"(40.6127492804, -77.6200308901)"
MONROE,186.4682296,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,45,45,42,89,"(41.0609178653, -75.3408360302)"
MONTGOMERY,186.7559098,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,46,46,42,91,"(40.209898739, -75.3725200072)"
MONTOUR,344.8181868,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,47,47,42,93,"(41.0280182438, -76.6647052668)"
NORTHAMPTON,171.7764825,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,48,48,42,95,"(40.754595404, -75.3126372576)"
NORTHUMBERLAND,232.6644406,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,49,49,42,97,"(40.8515092572, -76.7118842273)"
PENNSYLVANIA,204.3285057,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,0,0,42,0,"(39.346129, -75.167756)"
PERRY,134.2426888,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,50,50,42,99,"(40.4041531744, -77.2590738496)"
PHILADELPHIA,178.599401,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,51,51,42,101,"(40.0044435384, -75.140236002)"
PIKE,139.5738094,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,52,52,42,103,"(41.332571995, -75.0327092448)"
POTTER,146.6390287,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,53,53,42,105,"(41.7442064382, -77.8987922939)"
SCHUYLKILL,207.2186275,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,54,54,42,107,"(40.707512431, -76.223323851)"
SNYDER,151.5024217,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,55,55,42,109,"(40.7711373692, -77.0725596804)"
SOMERSET,188.7531474,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,56,56,42,111,"(39.9714629901, -79.0310020611)"
SULLIVAN,102.0042366,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,57,57,42,113,"(41.4480993958, -76.5147922046)"
SUSQUEHANNA,134.9909451,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,58,58,42,115,"(41.8205685982, -75.8025030296)"
TIOGA,173.9455471,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,59,59,42,117,"(41.7733383358, -77.2578807579)"
UNION,156.4358609,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,60,60,42,119,"(40.9647313096, -77.0641580308)"
VENANGO,208.9117949,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,61,61,42,121,"(41.4034125863, -79.7628656104)"
WARREN,191.7801374,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,62,62,42,123,"(41.8167523652, -79.278581578)"
WASHINGTON,233.4155524,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,63,63,42,125,"(40.1910966345, -80.2518008276)"
WAYNE,199.4872806,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,64,64,42,127,"(41.6496980525, -75.3051535022)"
WESTMORELAND,274.9579416,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,65,65,42,129,"(40.3103149985, -79.471341176)"
WYOMING,188.1108971,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,66,66,42,131,"(41.5189248803, -76.0181300338)"
YORK,156.4573267,Opioids (All Schedules),"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,67,67,42,133,"(39.9219253124, -76.7257605231)"
ADAMS,113.2217655,Opioids (All Schedules) - excluding Buprenorphine,"Dispensations per 1,000 Population",Quarterly Rates,2017,2017 Q2,4/1/2017,1,1,42,1,"(39.8720956503, -77.2222427076)"
